name,country,Population,revision_id,article_quality,Region,Region_Population
Mohammed Zia Salehi,afghanistan,42.4,1225457074.0,Stub,SOUTH ASIA,2029.0
Abdul Majid Samim,afghanistan,42.4,1225425205.0,Stub,SOUTH ASIA,2029.0
Saber Sangar,afghanistan,42.4,1227951669.0,Stub,SOUTH ASIA,2029.0
Sayed Nasim Mihanparast,afghanistan,42.4,1172646418.0,Stub,SOUTH ASIA,2029.0
Suhail Shaheen,afghanistan,42.4,1198363158.0,Start,SOUTH ASIA,2029.0
Fazal Hadi Shinwari,afghanistan,42.4,1242412237.0,GA,SOUTH ASIA,2029.0
Baktash Siawash,afghanistan,42.4,1250972393.0,Stub,SOUTH ASIA,2029.0
Hasan Ali Sultani,afghanistan,42.4,1136614726.0,Stub,SOUTH ASIA,2029.0
Mohammad Hashem Taufiqui,afghanistan,42.4,1233490009.0,Start,SOUTH ASIA,2029.0
Pacha Gul Wafadar,afghanistan,42.4,1227179979.0,Stub,SOUTH ASIA,2029.0
Wahidullah Waissi,afghanistan,42.4,1232389768.0,C,SOUTH ASIA,2029.0
Ahmadullah Wasiq,afghanistan,42.4,1171042170.0,Start,SOUTH ASIA,2029.0
Gul Ahmmad Yama,afghanistan,42.4,1136614561.0,Start,SOUTH ASIA,2029.0
Abdul Salam Zaeef,afghanistan,42.4,1243758857.0,GA,SOUTH ASIA,2029.0
Abdul Zahir (Konar Education Minister),afghanistan,42.4,1126667481.0,Stub,SOUTH ASIA,2029.0
Mohammed Zaman,afghanistan,42.4,1229734414.0,Start,SOUTH ASIA,2029.0
Ziauddin (Afghan militia leader),afghanistan,42.4,1150044800.0,Start,SOUTH ASIA,2029.0
Qari Ziauddin,afghanistan,42.4,1245217124.0,Start,SOUTH ASIA,2029.0
Abdul Ghafor Zori,afghanistan,42.4,1136614520.0,Stub,SOUTH ASIA,2029.0
Ali Pasha of Gusinje,albania,2.7,1244421894.0,GA,SOUTHERN EUROPE,152.0
Ylli Asllani,albania,2.7,1221605713.0,Start,SOUTHERN EUROPE,152.0
Azis Tahir Ajdonati,albania,2.7,1192928746.0,Stub,SOUTHERN EUROPE,152.0
Bislim Bajgora,albania,2.7,1217284690.0,C,SOUTHERN EUROPE,152.0
Kastriot Berissa,albania,2.7,1244463139.0,Start,SOUTHERN EUROPE,152.0
Bardhok Biba,albania,2.7,1250227174.0,C,SOUTHERN EUROPE,152.0
Kostandin Boshnjaku,albania,2.7,1250227994.0,C,SOUTHERN EUROPE,152.0
Spartak Braho,albania,2.7,1224650124.0,Start,SOUTHERN EUROPE,152.0
Safet Butka,albania,2.7,1189442848.0,C,SOUTHERN EUROPE,152.0
Uran Butka,albania,2.7,1196422551.0,Start,SOUTHERN EUROPE,152.0
Refo Çapari,albania,2.7,1222381064.0,Start,SOUTHERN EUROPE,152.0
Neritan Ceka,albania,2.7,1184807608.0,Start,SOUTHERN EUROPE,152.0
Hysni Curri,albania,2.7,1198914812.0,Start,SOUTHERN EUROPE,152.0
Ibrahim Dalliu,albania,2.7,1248264998.0,Start,SOUTHERN EUROPE,152.0
Niazi Demi,albania,2.7,1209346411.0,Stub,SOUTHERN EUROPE,152.0
